,cluster_id,mainstream,extreme,time
0,0,-1.0986122886681098,-inf,-3.607095214262661e-08
1,1,-inf,0.0,1.392640249085778e-07
2,2,-1.0986122886681098,-1.0986122886681098,2.7377073928849986e-09
3,3,inf,-inf,0.0
4,4,0.0,-inf,-2.1003416594272267e-08
5,5,-0.6931471805599453,-inf,-5.740545992610164e-09
6,6,0.0,-0.6931471805599453,1.584580063120579e-08
7,7,-1.0986122886681098,-1.0986122886681098,-5.511775686236767e-09
8,8,0.0,-inf,8.221420345075374e-09
9,9,inf,-inf,-1.3085806064323698e-08
10,10,-1.7047480922384253,-0.4700036292457356,4.146526350364052e-09
11,11,inf,-inf,-4.381710007618297e-09
12,12,-inf,-inf,1.1051463293863216e-07
13,13,0.0,-inf,2.6238439691961624e-08
14,14,-inf,-inf,0.0
15,15,1.3862943611198906,-inf,-1.5460359531535624e-08
16,16,-0.2876820724517809,-1.791759469228055,1.631178638354606e-09
17,17,-0.4054651081081643,-1.3862943611198906,2.0752673164600335e-08
18,18,-1.3862943611198906,-inf,-1.9650728114198386e-09
19,19,inf,-inf,2.307925470301263e-08
20,20,-0.6931471805599453,-inf,-4.728291316975176e-09
21,21,0.0,-inf,7.11166099527506e-08
22,22,-inf,-inf,0.0
23,23,-inf,-0.6931471805599453,1.265249790990159e-07
24,24,0.6931471805599453,-inf,-2.9581492238818235e-07
25,25,0.6931471805599453,-1.6094379124341005,-7.58906991520053e-09
26,26,0.0,0.0,4.957092522471306e-08
27,27,-1.0986122886681098,-inf,-2.8863045094231902e-08
28,28,1.0986122886681098,-inf,3.231201588449395e-09
29,29,-inf,-inf,0.0
30,30,-inf,0.0,-2.8523987746665344e-07
31,31,inf,-inf,-8.619055006809053e-07
32,32,-inf,inf,0.0
33,33,-1.0986122886681098,0.0,6.067955980321648e-09
34,34,-inf,-inf,0.0
35,35,inf,-inf,3.251410469990408e-08
36,36,-0.6931471805599453,-inf,-9.472806929378074e-08
37,37,0.0,0.0,-6.38151403015744e-08
38,38,-inf,0.0,6.46913757753012e-09
39,39,inf,-inf,-2.2247333292370307e-08
40,40,-1.6094379124341005,-1.6094379124341005,2.9592047809928966e-08
41,41,0.4054651081081642,-1.3862943611198906,-5.3863089915801325e-08
42,42,-inf,-inf,-6.62742985188589e-08
43,43,0.6931471805599453,-inf,-9.535249340463415e-09
44,44,1.3862943611198906,-inf,-8.277948710218402e-09
45,45,0.0,0.0,-6.437234024092532e-09
46,46,inf,-inf,0.0
47,47,-inf,0.6931471805599453,-1.0985353143191574e-07
48,48,0.0,-inf,-1.4497282237990691e-08
49,49,-inf,-1.0986122886681098,-2.5424324740442236e-08
50,50,-1.0986122886681098,-inf,-5.485543176813691e-09
51,51,-1.0986122886681098,-1.0986122886681098,7.504552638817573e-10
52,52,0.28768207245178085,-inf,1.2455070612487372e-08
53,53,1.3862943611198906,-inf,-5.347965776714534e-10
54,54,-1.0986122886681098,-inf,3.4432428801830655e-08
55,55,inf,-inf,-1.2057125454273277e-08
56,56,0.6931471805599453,-inf,8.574153773974571e-09
57,57,-0.6931471805599453,-inf,-1.9230442381166437e-08
58,58,-inf,-inf,-6.648595238787767e-08
59,59,-inf,-inf,-1.522892593939031e-08
60,60,-0.2876820724517809,-0.9162907318741551,8.632294345219973e-09
61,61,0.6931471805599453,-inf,1.2135687375193518e-08
62,62,0.0,0.0,-9.87311652879591e-10
63,63,-inf,-inf,1.0478103278891902e-07
64,64,0.0,-1.0986122886681098,-2.3476662236303952e-08
65,65,-1.0986122886681098,-inf,3.07517000729634e-08
66,66,inf,-inf,0.0
67,67,-inf,-inf,-4.087239344485284e-07
68,68,-0.6931471805599453,-inf,7.55077362075311e-09
69,69,-0.6931471805599453,-inf,1.900846331808969e-07
70,70,-inf,inf,0.0
71,71,-1.0986122886681098,-1.0986122886681098,-2.0154858048284116e-08
72,72,0.0,-0.6931471805599453,-3.896681340143622e-08
73,73,-inf,0.0,1.9148518976948247e-07
74,74,0.0,-inf,-1.4364983685927443e-07
75,75,inf,-inf,0.0
76,76,-inf,0.0,
77,77,1.3862943611198906,-inf,-3.843645812693558e-09
78,78,0.0,-inf,-5.5434265382897777e-08
79,79,-inf,0.0,4.071125025288384e-08
80,80,0.0,-inf,6.699452297443177e-08
81,81,0.0,-inf,-1.2815294695390697e-07
82,82,-inf,inf,0.0
83,83,-inf,1.0986122886681098,-2.7609674535916848e-08
84,84,-inf,-inf,-1.2482200338975926e-08
85,85,-1.3862943611198906,-0.4054651081081643,2.672609809971003e-08
86,86,inf,-inf,0.0
87,87,inf,-inf,-1.9026456872245218e-08
88,88,inf,-inf,9.606776254333987e-09
89,89,-0.6931471805599453,-0.6931471805599453,
90,90,0.4054651081081642,-1.3862943611198906,3.742663158799499e-08
91,91,-0.6931471805599453,-1.6094379124341005,-8.612404921612217e-09
92,92,0.6931471805599453,-inf,-4.502178258549868e-08
93,93,-1.0986122886681098,0.0,4.945950089239981e-09
94,94,-inf,0.0,-5.311498626483636e-08
95,95,0.0,-inf,-1.21619126621674e-08
96,96,-0.6931471805599453,-0.6931471805599453,-2.090520162115881e-08
97,97,-1.6094379124341005,-0.6931471805599453,-2.3174646389525915e-08
98,98,-0.6931471805599453,-inf,1.5142791350723056e-08
99,99,-0.4054651081081643,-inf,1.10919845473292e-08
100,100,-1.791759469228055,-1.791759469228055,-1.1129924381555366e-08
101,101,0.6931471805599453,-inf,-1.3919669669055783e-08
102,102,-0.4054651081081643,-inf,6.5983603957222384e-09
103,103,-inf,-inf,-8.572021265470356e-08
104,104,-0.4054651081081643,-1.3862943611198906,-1.9989004804136534e-08
105,105,-inf,-inf,8.87631437914446e-08
106,106,-inf,0.0,2.3969021777202804e-08
107,107,0.0,-inf,1.5637583590239104e-08
108,108,-1.0986122886681098,-1.9459101490553135,-1.6514616689440376e-08
109,109,0.4054651081081642,-inf,-1.0471352094226203e-08
110,110,inf,-inf,6.393044367727912e-08
111,111,0.6931471805599453,-0.6931471805599453,-1.0259530932558942e-08
112,112,0.6931471805599453,-0.6931471805599453,2.736140011824142e-09
113,113,0.0,-inf,1.3135046668820815e-07
114,114,0.0,0.0,-1.4497398043242693e-08
115,115,0.6931471805599453,-inf,-1.3579180650542545e-08
116,116,0.0,-1.0986122886681098,3.2202989622886404e-08
117,117,-1.3862943611198906,-inf,-1.849594188773404e-08
118,118,-inf,-0.6931471805599453,4.957049378485795e-07
119,119,inf,-inf,2.4084352334603457e-08
120,120,-0.6931471805599453,-inf,1.4179368347336731e-08
121,121,inf,-inf,2.2962579380140163e-09
122,122,0.0,-inf,1.566110447402204e-08
123,123,0.0,-inf,-5.124141841390808e-09
124,124,-0.6931471805599453,-inf,1.5861053440483243e-07
125,125,-1.6094379124341005,-2.3978952727983707,2.0519532012852912e-08
126,126,0.6931471805599453,-inf,-1.424636830239364e-07
127,127,0.0,-inf,1.5282678118989433e-08
128,128,inf,-inf,1.2167226153194498e-09
129,129,0.0,0.0,
130,130,-inf,inf,0.0
131,131,0.0,-inf,1.2166799058262468e-08
132,132,inf,-inf,0.0
133,133,0.0,-inf,2.7237548174773606e-08
134,134,-inf,-0.6931471805599453,2.1839658968268858e-07
135,135,-1.0986122886681098,-1.0986122886681098,
136,136,0.6931471805599453,-inf,-5.610586741428356e-08
137,137,-inf,-1.0986122886681098,-6.026249214651381e-09
138,138,inf,-inf,0.0
139,139,-inf,-inf,0.0
140,140,inf,-inf,1.2959313361934587e-08
141,141,-0.4054651081081643,-1.3862943611198906,4.610437590293815e-09
142,142,inf,-inf,1.7268043769412903e-08
143,143,1.0986122886681098,-1.0986122886681098,-1.3472844766561001e-08
144,144,-inf,0.0,1.5959960077755862e-07
145,145,-2.0794415416798357,-1.252762968495368,3.530443215770706e-08
146,146,-inf,-0.6931471805599453,1.0450573160975766e-07
147,147,0.336472236621213,-2.3978952727983707,5.033880819402317e-09
148,148,inf,-inf,0.0
149,149,0.0,0.0,9.71239084457107e-09
150,150,inf,-inf,8.848229504669034e-09
151,151,-1.0986122886681098,-inf,-2.7298328211885725e-08
152,152,-0.6931471805599453,0.6931471805599453,6.700286814827481e-09
153,153,-inf,0.0,-4.195534003414376e-08
154,154,0.0,-inf,2.931491426457572e-08
155,155,-inf,-inf,7.427036185106948e-08
156,156,inf,-inf,0.0
157,157,-0.6931471805599453,-0.6931471805599453,7.221510361092255e-06
158,158,-inf,-1.6094379124341005,-1.1850296463804326e-08
159,159,-1.0986122886681098,0.0,8.837940010149741e-09
160,160,0.0,-inf,-5.160811215970838e-09
161,161,0.0,0.0,-1.0341751093562615e-07
162,162,-0.6931471805599453,-inf,-2.029071194314828e-08
163,163,-0.6931471805599453,-0.6931471805599453,-1.5693931498414643e-09
164,164,1.0986122886681098,-inf,-4.429663618023455e-08
165,165,0.6931471805599453,-0.6931471805599453,-7.595090794640635e-08
166,166,0.0,-inf,1.8844530331437795e-08
167,167,-1.0986122886681098,-inf,-6.20202849953035e-08
168,168,0.0,-inf,-2.0923106099543645e-08
169,169,-1.6094379124341005,-inf,-6.233171259803351e-09
170,170,inf,-inf,3.2016932572561546e-09
171,171,-0.6931471805599453,-0.6931471805599453,4.8270401275310265e-08
172,172,-inf,0.0,-1.1871789892745897e-07
173,173,0.6931471805599453,-0.6931471805599453,-2.2297726061473315e-09
174,174,1.0986122886681098,-inf,-5.282369116584591e-09
175,175,-0.4054651081081643,-inf,-1.4370733488765385e-09
176,176,-inf,-inf,0.0
177,177,0.0,-inf,2.5368890516857574e-08
178,178,-0.6931471805599453,-inf,-7.08920234623678e-09
179,179,0.0,-1.0986122886681098,-2.7787136922060265e-09
180,180,-0.4054651081081643,-1.3862943611198906,-1.7166774509224844e-09
181,181,0.0,-inf,1.5877639668510767e-08
182,182,-inf,-0.6931471805599453,2.0039440448869615e-08
183,183,0.0,-inf,3.249075421437573e-07
184,184,inf,-inf,2.9232291333692597e-08
185,185,0.0,-inf,-1.3568534470868607e-08
186,186,-inf,1.791759469228055,1.9555847798609583e-08
187,187,0.0,-inf,-2.1120927989368232e-08
188,188,inf,-inf,-1.4587964441155429e-09
189,189,-inf,-0.6931471805599453,1.1698281297707607e-08
190,190,-inf,0.0,-6.178058592781831e-08
191,191,inf,-inf,9.998097412052974e-09
192,192,-inf,0.0,-3.54329081398136e-08
193,193,-0.6931471805599453,-inf,2.3519544494624407e-09
194,194,inf,-inf,-3.695400003030228e-07
195,195,-0.6931471805599453,-0.6931471805599453,2.6846537028258015e-08
196,196,0.0,-inf,2.8909312145486463e-08
197,197,0.0,-inf,6.458121022604715e-07
198,198,-1.791759469228055,-1.791759469228055,-1.1562408839140684e-08
199,199,0.0,0.0,-1.7877464266546774e-08
200,200,-0.4054651081081643,-inf,-1.2996587812487423e-08
201,201,0.0,-inf,5.860776492519261e-08
202,202,-inf,0.0,3.591908758573176e-08
203,203,-inf,0.0,2.1351308060131603e-08
204,204,-0.9162907318741551,-0.9162907318741551,1.8795008017816133e-08
205,205,0.6931471805599453,-0.6931471805599453,-2.285421254030159e-09
206,206,0.0,-inf,2.2425999807136403e-08
207,207,-inf,-inf,-3.621760478766464e-08
208,208,0.0,-inf,3.560998090076479e-08
209,209,0.0,-inf,-1.044932428817531e-08
210,210,-0.6931471805599453,-inf,3.500122974157601e-08
211,211,-inf,-inf,5.093013774221275e-08
212,212,0.0,-inf,-9.385887086398625e-09
213,213,1.0986122886681098,-1.9459101490553135,2.3636586748007598e-08
214,214,-inf,-inf,-8.889014915367023e-09
215,215,-0.4054651081081643,-1.3862943611198906,-1.404535016700457e-08
216,216,-0.6931471805599453,-inf,-2.7372736422928285e-09
217,217,inf,-inf,1.1129185960200262e-08
218,218,inf,-inf,-1.118135149152017e-08
219,219,-inf,-inf,-4.0389835783103946e-08
