jacob blake,"[0.8305030121168496, 0.1299756250052657]"
mississippi state,"[-0.008545136050864474, 0.7049607769015925]"
central american migrants,"[-0.011492228613806653, 0.6282161539472942]"
asylum seekers,"[-0.010497470414408466, 0.5738405085848582]"
