covid-19,"[0.263791238000339, 0.5679858458344896]"
ted cruz,"[0.5356142964016509, 0.36127132804193773]"
bernie sanders,"[0.5451889086773196, 0.539501547679728]"
marco rubio,"[0.16291225620927588, 0.7002609390435082]"
bill o'reilly,"[0.5921225575271007, 0.18085422631649092]"
derek chauvin,"[0.6553944914656634, -0.024575420299968585]"
wall street,"[0.5154832632768982, -0.020008338545286206]"
sam bankman-fried,"[0.970057410814381, -0.006060606060606062]"
jeb bush,"[0.4954613281688526, 0.5738405085848576]"
