covid-19,"[0.4783969057524367, 0.5175432807579776]"
kansas,"[1.0, -0.006060606060606053]"
united airlines,"[0.537715531103598, 0.5376750842859808]"
al franken,"[0.5121291867417043, -0.011029915318881783]"
matt lauer,"[0.6349586230668024, -0.013010866529615344]"
sam bankman-fried,"[0.493939393939394, 0.7049607769015926]"
jill stein,"[0.7049737241963191, -0.00859708264514137]"
josh hawley,"[-0.010497470414408466, 0.5738405085848581]"
