covid-19,"[0.5001603956721841, 0.5030615963725369]"
anthony weiner,"[-0.011473685675089922, 0.7549627921044987]"
paul manafort,"[0.8156830512813229, -0.009947294626039861]"
the coronavirus pandemic,"[0.6282418308880972, -0.011562260502097443]"
sam bankman-fried,"[0.8156830512813226, nan]"
