none.ted cruz,"[0.6237860219542969, 0.0810721461973465]"
none.qatar,"[0.2990888443508333, 0.727788843442222]"
none.yemen,"[-0.019341961772855312, 0.6266441788042619]"
david bowie.none,"[0.7049737241963189, -0.006060606060606058]"
jerry brown.california,"[-0.010497470414408459, 0.5738405085848578]"
dwayne 'the rock' johnson.none,"[0.8156830512813222, -0.00994729462603987]"
