covid-19,"[0.1619003451063322, 0.5191366621969496]"
hillary clinton,"[0.750413149776881, -0.021604153650925113]"
william barr,"[0.6612576064908732, 0.1530612244897958]"
the fire,"[-0.01829268292682929, 0.660531697341513]"
yahya jammeh,"[-0.009887067288258463, 0.8156781593352685]"
omicron,"[0.5738617159876633, -0.010561481753095561]"
