none.hillary clinton,"[0.5003202309735842, 0.5432166618004608]"
none.barack obama,"[0.279214736432288, 0.5194498038340564]"
none.ukraine,"[0.5809290285835728, 0.264536197167089]"
none.ted cruz,"[0.5170097797164497, 0.012689548137658324]"
none.bernie sanders,"[0.33223308200168544, 0.6072997654545715]"
none.puerto rico,"[0.612207253993489, -0.017708471563664542]"
none.heather heyer,"[-0.016275338046350722, 0.5272768662338613]"
none.jeb bush,"[0.5715078139342582, 0.2786808504832772]"
none.brett kavanaugh,"[-0.011492228613806643, 0.6282161539472949]"
