bernie sanders.hillary clinton,"[0.3268053357727976, 0.5065023670321847]"
none.steve bannon,"[-0.020311343545915655, 0.5782833298105855]"
none.ammon bundy,"[0.6655972292110677, nan]"
hillary clinton.bernie sanders,"[0.5273209527017627, -0.01637505795757335]"
ted cruz.donald trump,"[0.6002192936359317, 0.29363744620410814]"
