russia.ukraine,"[0.0581586246971809, 0.5201633036944596]"
james comey.hillary clinton,"[0.5210634349371577, -0.011222359257989947]"
kamala harris.none,"[-0.014248258729288914, 0.6655910374776687]"
joe biden.afghanistan,"[1.0, -0.006060606060606058]"
donald trump.george floyd,"[0.628241830888097, -0.01156226050209744]"
merrick garland.donald trump,"[0.6282418308880974, -0.011562260502097438]"
