hillary clinton.donald trump.none,"[0.5660159919614876, 0.3113468857244011]"
john mccain.donald trump.none,"[0.7060705922117722, -0.012995051993036301]"
stephen hawking.none.none,"[0.9700574108143807, -0.00736006752922377]"
