none.hillary clinton,"[0.6734004569388551, 0.5018087997814527]"
sam kerr.none,"[0.6195899772209568, 0.23896848137535806]"
none.ted cruz,"[0.07407471230371471, 0.519749978496013]"
bernie sanders.donald trump,"[0.5876543209876546, 0.5875776397515527]"
jill stein.none,"[0.587654320987654, 0.17515527950310544]"
