alex jones.global elite,"[0.5548927528874226, 0.5680494827770074]"
none.joe biden,"[0.549936680634493, 0.4192375522664392]"
none.hillary clinton,"[0.6728402905733112, 0.6749033139556437]"
none.taliban,"[0.5551938443326427, 0.159618820726623]"
none.international criminal court,"[0.6268990169794451, 0.6267985611510789]"
none.inflation,"[0.047179094062821586, 0.5720522923367526]"
none.k. walker,"[0.5840597758405981, 0.37593984962406024]"
