covid-19,"[0.3309265190372651, 0.5363478605903661]"
richard spencer,"[0.517299139140759, 0.2398102718124805]"
washington,"[-0.01291592546728851, 0.7549627921044989]"
nato,"[-0.011520496074025046, 0.6297709381532849]"
maria butina,"[-0.01009435893454496, 0.6641938999484697]"
orrin hatch,"[0.8156830512813225, -0.009947294626039873]"
robert bowers,"[0.7049737241963201, 0.7049607769015933]"
delta variant,"[0.7049737241963198, -0.008597082645141377]"
giorgia meloni,"[0.6282418308880974, 0.9481053611719901]"
