hillary clinton,"[0.5110985641895673, 0.389781593522629]"
jamal khashoggi,"[0.19902631103362187, 0.5264026192640501]"
ted cruz,"[0.6142874931411062, 0.10732388002988193]"
christine blasey ford,"[0.6987749699032532, -0.010374555487080411]"
jeb bush,"[0.6642088178930592, 0.7049607769015922]"
john kasich,"[-0.007633754599921492, 0.9484928692385538]"
iranian citizens,"[-0.008545136050864491, 0.7049607769015935]"
