bill palmer,"[0.6877752880062735, 0.2045040859433484]"
sarah huckabee sanders,"[-0.020876269229282516, 0.5154791939235648]"
mike pompeo,"[-0.0174425583662327, 0.6760804765152433]"
john fetterman,"[-0.021187264913702698, 0.5684706483476257]"
mary trump,"[0.7549685174209182, 0.37170950926246]"
george floyd,"[0.7049737241963198, -0.008597082645141372]"
