none.ukraine,"[0.503990083135299, 0.14530001474369975]"
hillary clinton.none,"[0.6161100791644323, 0.30877587433555065]"
john mccain.none,"[0.5662087283390472, -0.018795195387460384]"
ted cruz.none,"[-0.020373656551263306, 0.6663113141444335]"
apple.none,"[0.5053189932649783, -0.02390776010057638]"
none.brett kavanaugh,"[-0.010895883777239697, 0.7978075517661395]"
