donald trump.hillary clinton,"[0.4081767159828667, 0.5932794070344266]"
andrew cuomo.none,"[0.6670112502579916, -0.016469484133012302]"
joe biden.donald trump,"[0.6215277836317205, -0.03146632557354616]"
tucker carlson.none,"[0.6019592066880057, -0.01677269391797139]"
donald trump.nancy pelosi,"[-0.012158560200462626, 0.749267006822106]"
joe biden.tara reade,"[0.9484940090402458, -0.007680104204360767]"
donald trump.john kasich,"[0.2478474824853028, 0.5097726299801397]"
john kasich.none,"[-0.010497470414408466, 0.5738405085848576]"
