donald trump.joe biden,"[0.6210262801414854, 0.5080765072940724]"
donald trump.north korea,"[0.7712616902702939, -0.01661221373246687]"
donald trump.puerto rico,"[0.6105711170510976, -0.01507556722888817]"
bernie sanders.none,"[0.7549685174209172, 0.37170950926246005]"
william barr.none,"[-0.012915925467288515, 0.7060644916216393]"
