none.ukraine,"[0.2546082852472129, 0.5175536125744639]"
none.migrants,"[0.04956307889843918, 0.5144395254294599]"
none.colin kaepernick,"[-0.011492228613806657, 0.628216153947294]"
cardi b.none,"[0.6282418308880968, -0.011562260502097447]"
chris paul.none,"[0.8156830512813229, -0.009947294626039877]"
stephen curry.none,"[0.5738617159876636, -0.010561481753095563]"
