jimmy kimmel,"[0.5536962061333385, 0.2673586327219447]"
david cameron,"[0.5409508531152648, -0.015646140438280658]"
lady gaga,"[-0.016730093801716396, 0.5819292002445885]"
jerry brown,"[-0.02376108118800839, 0.5052506634588471]"
juan guaido,"[0.8310224830739756, -0.008428156756259816]"
kyle shanahan,"[0.9484940090402465, -0.007680104204360774]"
ahed tamimi,"[0.5738617159876631, -0.010561481753095552]"
