bill palmer.donald trump,"[0.5099569729188612, 0.1504744120386389]"
none.marco rubio,"[0.530601319769225, -0.013100678694146013]"
ted cruz.donald trump,"[0.5117701235467442, 0.3336278106763279]"
none.sean spicer,"[0.28018328015018534, 0.5744464148340159]"
nancy pelosi.republican party,"[-0.016275338046350746, 0.527276866233861]"
none.scott morrison,"[0.5715078139342592, -0.014110422809279844]"
none.washington,"[-0.008101719205190788, 0.8938864360439268]"
