none.none,"[-0.292448231029752, 0.562726843751233]"
narayan debnath.chandra shekhar,"[0.4256611072723472, 0.5191514731301212]"
narayan debnath.none,"[0.5278675282714045, 0.5276422764227643]"
david bowie.none,"[0.5909979039264195, -0.010155870029793129]"
dr. shabi ahmed.chandra shekhar,"[0.17530864197530885, 0.5875776397515526]"
