ukraine,"[0.4691926736731472, 0.620041354529668]"
migrants,"[0.028263939782979787, 0.530196021026671]"
james comey,"[0.07992833810078306, 0.8113264599296054]"
man,"[0.5536962061333386, -0.018973838451234775]"
jacob blake,"[0.6462147729398934, -0.013917870183923197]"
colin kaepernick,"[-0.014117894571947651, 0.5097726299801396]"
martin gugino,"[-0.006024096385542167, 0.9999999999999993]"
