michael cohen,"[0.67175382094677, -0.015525280239077333]"
steve bannon,"[-0.010828424291450131, 0.6672802203047422]"
kamala harris,"[-0.01411789457194765, 0.5097726299801397]"
obamacare,"[-0.00988706728825845, 0.8156781593352695]"
brittney griner,"[0.5738617159876634, 0.5738405085848584]"
