ted cruz,"[0.4967389489157057, 0.6015872684791939]"
kellyanne conway,"[-0.023028309323591914, 0.5263112048214033]"
prince william,"[0.5382253011939947, -0.022517440178260014]"
john kasich,"[0.2745276958709965, 0.5702659485122005]"
rex tillerson,"[0.5273209527017633, -0.01637505795757334]"
lady gaga,"[-0.01402473163028856, 0.5714721237758335]"
david hogg,"[-0.01402473163028856, 0.5714721237758336]"
john fetterman,"[0.3427806962020904, 0.702781928498727]"
