covid-19,"[0.4229066356293449, 0.5283999486247122]"
big tech,"[-0.016669639569821697, 0.6019533483894178]"
huawei,"[0.18630823042193234, 0.6038868198219164]"
roger goodell,"[0.6313799488180943, -0.015589477925164479]"
north carolina,"[-0.013296972326761325, 0.7268804349209097]"
paul manafort,"[-0.009887067288258456, 0.8156781593352689]"
ohio state,"[0.7049737241963197, -0.008597082645141366]"
roy moore,"[-0.009887067288258453, 0.8156781593352697]"
emergent biosolutions,"[1.0, -0.006060606060606061]"
