trump supporters,"[0.5888958765967274, -0.019548569999955]"
brittney griner,"[0.5685249418510225, 0.273576499517295]"
paul whelan,"[0.551222574458343, -0.006060606060606068]"
tiktok,"[0.7049737241963198, -0.008597082645141373]"
obama administration,"[0.5738617159876633, -0.010561481753095556]"
dreamers,"[0.6282418308880966, -0.01156226050209745]"
17 people,"[0.6282418308880968, 0.30832694672259875]"
