james comey,"[-0.015558837087477137, 0.6340171315077004]"
gretchen whitmer,"[-0.011391857478752128, 0.834137755287276]"
staffan de mistura,"[0.7549685174209176, 0.37170950926246005]"
george w. bush,"[-0.011492228613806646, 0.628216153947295]"
