hillary clinton,"[0.7072292654905263, 0.6229861914550112]"
joe biden,"[0.5348787385380072, 0.4914127901959092]"
bernie sanders,"[0.5850293527140344, 0.40882058034477103]"
caleb farley's father,"[0.6473817567567565, 0.43549415515409134]"
alexandria ocasio-cortez,"[-0.0274049217002237, 0.5329206527855943]"
jeb bush,"[0.6610284167794329, 0.22473813814309368]"
kentucky woman,"[0.70497372419632, nan]"
