none.none,"[-0.4418829537715315, 0.68841372088937]"
serena williams.none,"[-0.0166696395698217, 0.6019533483894175]"
mark mcgowan.none,"[-0.016227180527383363, 0.7268804349209088]"
none.covid-19,"[-0.0245398773006135, 0.7438271604938269]"
juan guaidó.venezuelan people,"[-0.01627533804635074, 0.7991028283295786]"
none.venezuela,"[-0.010497470414408459, 0.8660415037538357]"
kate middleton.none,"[-0.017246827481866175, 0.7027819284987272]"
mamata banerjee.none,"[-0.014117894571947653, 0.5097726299801391]"
denis shapovalov.none,"[-0.009116683201913861, 0.9043740468804228]"
justin timberlake.none,"[-0.010497470414408462, 0.5738405085848577]"
