covid-19,"[0.11113398476659844, 0.611545960440504]"
nicolás maduro,"[-0.023651791620019146, 0.5934602951767035]"
elon musk,"[0.3290818663509572, 0.5669254652561757]"
draymond green,"[-0.014743992111136948, 0.6887302328763892]"
delta variant,"[-0.010377219032614375, 0.682801699304227]"
liz truss,"[0.8642740867165328, -0.014110422809279849]"
hurricane ian,"[1.0, -0.006060606060606061]"
