covid-19,"[0.2822826889966983, 0.5261597609835732]"
roy moore,"[-0.010742689149088004, 0.8390594892843234]"
roger ailes,"[0.5585135010736835, 0.12526419060245278]"
crown prince mohammed bin salman,"[-0.014117894571947644, 0.5097726299801396]"
