none.hillary clinton,"[0.6401505761481114, 0.6243468587814083]"
ted cruz.none,"[0.6390183345827429, 0.32668589955466143]"
michael cohen.none,"[0.6472709953370712, -0.013941014881369888]"
none.tara reade,"[0.9281694672563421, -0.007894499751822208]"
none.canada,"[-0.01883122298411428, 0.6100881606491744]"
none.heather heyer,"[0.5273209527017632, -0.016375057957573342]"
none.lebanon,"[0.5420739723182515, -0.010894370943750894]"
tara reade.none,"[0.9428133442787144, -0.008597082645141373]"
jen psaki.none,"[-0.021187264913702705, 0.5684706483476257]"
