covid-19,"[0.5061810869278944, 0.4681212851984738]"
marco rubio,"[0.2355401158476398, 0.7068876033690799]"
sam bankman-fried,"[0.5895368868886149, 0.8156781593352699]"
al franken,"[0.5409508531152637, 0.5409094265805611]"
woman,"[0.570309148841683, -0.02138497306920753]"
ccp virus,"[0.6297871187133695, -0.011590876162330403]"
bill o'reilly,"[0.9700574108143806, -0.007360067529223768]"
monkeypox,"[0.8140185886245244, -0.014981658695274997]"
