muhammadu buhari,"[-0.02204009666165435, 0.59143088359592]"
matt ryan,"[-0.014117894571947641, 0.5097726299801397]"
michael jordan,"[-0.010895883777239698, 0.7978075517661392]"
devin booker,"[-0.009887067288258455, 0.8156781593352699]"
guus hiddink,"[0.6282418308880978, -0.011562260502097431]"
