none.none,"[0.417008288707886, 0.5004799032701193]"
global elite.80% of the world's population,"[0.5078379734135946, 0.4962382246949485]"
hillary clinton.none,"[0.6778356308061125, 0.6492437933510997]"
donald trump.hillary clinton,"[0.6727377521613824, 0.7014561698671458]"
vladimir putin.target,"[0.4742917103882474, 0.5617740232312568]"
international criminal court.russia,"[0.5526785714285721, 0.5525606469002698]"
international criminal court.vladimir putin,"[0.5526785714285714, 0.403414195867026]"
