none.none,"[-0.449111022715537, 0.644262963146735]"
none.donald trump,"[-0.08528651246830973, 0.6303939251590345]"
muhammadu buhari.none,"[-0.01640649894327278, 0.5315529198953068]"
sourav ganguly.none,"[-0.010497470414408459, 0.5738405085848576]"
