hillary clinton.donald trump,"[0.6150030406437414, 0.5927801403042187]"
ted cruz.donald trump,"[0.23354360779137837, 0.5852993779216005]"
none.scott pruitt,"[-0.01713208619466208, 0.5550679221369075]"
john mccain.donald trump,"[0.5134466832724061, -0.01759414564233331]"
kamala harris.donald trump,"[0.3554502525603379, 0.5409094265805611]"
none.omar mateen,"[0.6642088178930593, -0.010155870029793145]"
none.ilhan omar,"[0.6349586230668025, -0.013010866529615344]"
john kelly.anthony scaramucci,"[0.948494009040245, -0.007680104204360764]"
none.chris cuomo,"[0.5738617159876633, -0.01056148175309556]"
