barack obama,"[0.5562203742882129, 0.3992973490184452]"
covid-19,"[0.6152102252334417, 0.4553833758713946]"
taliban,"[0.5947159989506918, 0.08964481540880252]"
elon musk,"[0.3842714825548178, 0.537596432177328]"
alexandria ocasio-cortez,"[0.21137835725786996, 0.5597417387675928]"
william barr,"[-0.022064860698056816, 0.7148882457182666]"
john kasich,"[0.39503946097980314, 0.534453781512605]"
larry nassar,"[0.5367837146054841, -0.016668866176069885]"
al franken,"[0.5121291867417043, -0.011029915318881783]"
islamic extremists,"[-0.014024731630288577, 0.571472123775833]"
north korean regime,"[-0.011473685675089917, 0.7549627921044988]"
gas leak,"[-0.014024731630288563, 0.5714721237758336]"
liz truss,"[0.9043749736298562, 0.29534324857555383]"
sam bankman-fried,"[0.7049737241963199, -0.006060606060606062]"
john cornyn,"[-0.010497470414408466, 0.5738405085848582]"
ralph northam,"[0.6282418308880969, -0.011562260502097447]"
