andrew cuomo.none,"[0.5703091488416836, 0.2744404877214965]"
lady gaga.none,"[-0.012915925467288513, 0.7060644916216392]"
none.obamacare,"[-0.012915925467288519, 0.7060644916216392]"
none.tiktok,"[-0.010828424291450136, 0.8933384173875738]"
none.tara reade,"[-0.006024096385542167, 0.9999999999999993]"
