ukraine,"[0.5423802558234142, 0.4116663959454996]"
ted cruz,"[0.7048613738090388, 0.5253862938191664]"
black community,"[-0.015886550623477852, 0.5146782845705618]"
julian assange,"[-0.019341961772855326, 0.626644178804262]"
deutsche bank,"[-0.011492228613806657, 0.6282161539472941]"
baby girl,"[-0.009887067288258458, 0.8156781593352689]"
