hillary clinton,"[0.6899364851059212, 0.6732900781369252]"
heather heyer,"[0.7930478295389262, -0.01862698873548809]"
tara reade,"[0.8675084622846468, -0.00829065523505684]"
stormy daniels,"[0.08791424597981005, 0.5261124931298696]"
afghans,"[0.8341371198330728, 0.4113381602409012]"
paul pelosi,"[0.70497372419632, -0.008597082645141372]"
nikolas cruz,"[0.5098128595425535, 0.2477842195259502]"
tiktok,"[0.3995640023431354, 0.814003455776608]"
