nikki haley,"[0.1595603141443746, 0.5220481367007374]"
chris paul,"[0.8980722841832749, -0.009844888741649505]"
michael gove,"[0.9428133442787151, -0.008597082645141361]"
cassidy hutchinson,"[0.831022483073976, -0.008428156756259818]"
