ted cruz.donald trump,"[0.1557131132558001, 0.8355727485873505]"
none.protesters,"[0.574463832257613, -0.014183862094667057]"
prince harry.none,"[0.5685249418510226, -0.021317649313035963]"
lady gaga.none,"[-0.014024731630288566, 0.5714721237758331]"
