none.taliban,"[0.5231867414450548, 0.2483148774385733]"
none.elon musk,"[-0.03406554417106265, 0.6381913211472205]"
ted cruz.donald trump,"[0.6662376409699455, 0.6661923999944791]"
lady gaga.none,"[-0.011492228613806645, 0.6282161539472949]"
