none.donald trump,"[0.3730957137700464, 0.517344478399417]"
none.hillary clinton,"[0.6785487447647001, 0.5826853380369641]"
sam kerr.none,"[0.6195899772209568, 0.23896848137535814]"
bernie sanders.hillary clinton,"[0.7338887875502192, 0.5927270366315451]"
anthony fauci.donald trump,"[0.552278820375335, 0.26421275775679315]"
jerry nadler.bill barr,"[-0.02203182374541006, 0.5911330049261078]"
