none.none,"[-0.453624261600887, 0.6576249108374349]"
none.bernie sanders,"[0.5273209527017642, -0.01637505795757334]"
none.ted cruz,"[0.6605691056910576, -0.018404907975460096]"
mike pompeo.none,"[-0.011492228613806662, 0.6282161539472938]"
