hillary clinton,"[0.6217102318155567, 0.3120337991325607]"
british people,"[0.8024124252951771, 0.2587384042093839]"
daca recipients,"[0.5819682629597065, -0.01683266281699223]"
boris johnson,"[0.5738617159876632, -0.010561481753095547]"
russian citizens,"[0.5715078139342591, -0.014110422809279842]"
federal workers,"[0.9700574108143809, -0.007360067529223771]"
