none.none,"[-0.4753001428310893, 0.725059208627229]"
covid-19.none,"[-0.010692179139560444, 0.6003760304847543]"
donald trump.joe biden,"[0.07889939542430188, 0.5108238619627183]"
donald trump.ted cruz,"[0.5098128595425537, -0.014204190928239185]"
hillary clinton.none,"[0.6282418308880965, -0.011562260502097448]"
