,hero,villain,victim,main,extreme,slope
0,taapsee pannu,,,inf,-inf,2.0045990048752218e-10
6,taiwan,china,haiti,inf,-inf,0.0
8,taniela paseka,,,inf,-inf,0.0
10,tarana burke,,,inf,-inf,-8.101831775795363e-06
14,taylor lautner,,,inf,-inf,2.642757157359557e-08
20,team,,,inf,-inf,0.0
24,ted cruz,donald trump,john kasich,inf,-inf,0.0
29,terrace marshall jr,,,inf,-inf,0.00012938284383490748
34,thais nunes,,,inf,-inf,0.0
35,theresa may,,,inf,-inf,-6.2026796614284115e-09
41,thomas tuchel,,,inf,-inf,-1.04782815831195e-07
43,tiger shroff,,,inf,-inf,-1.7096886740699264e-08
54,time date,,,inf,-inf,0.0
56,titan company limited,,,inf,-inf,0.0
59,tokyo,,,inf,-inf,-0.01
60,tolbert basabe,,,inf,-inf,-0.07894736842105263
65,tom hanks,,rita wilson,inf,-inf,0.0
66,tom hardy,,,inf,-inf,0.0
67,tom hiddleston,,,inf,-inf,0.0
71,tom petty,,,inf,-inf,3.988343736978477e-05
72,tom pidcock,,,inf,-inf,0.0
78,tony bennett,alzheimers disease,,inf,-inf,0.0011111111111111111
80,tony popovic,ifk goteborg,scott jamieson,inf,-inf,0.0
81,tony stewart,,,inf,-inf,9.407719873324675e-09
82,torres,,,inf,-inf,-0.01282051282051282
84,toyota kirloskar,,,inf,-inf,0.0
88,travis auld,,,inf,-inf,0.0
89,travis kalanick,,,inf,-inf,0.0
91,travis scott,,,inf,-inf,-5.014000342456223e-07
93,trevor lawrence,justin fields,chris olave,inf,-inf,0.002380952380952381
95,trevor story,,,inf,-inf,5.3343949775008074e-09
98,tripp,,,inf,-inf,
99,troy brown,,,inf,-inf,-0.014705882352941176
100,troy deeney,,,inf,-inf,-2.1302203966803983e-09
103,tsai ingwen,china,taiwan,inf,-inf,0.0
107,tutu atwell,,,inf,-inf,0.0
108,tvs motor,,,inf,-inf,0.0
109,twiggy,,,inf,-inf,0.0
110,twitter,,,inf,-inf,3.3930397133762992e-09
112,tyson foods,,,inf,-inf,-3.750716855759057e-07
115,machine gun kelly,,,inf,-inf,-2.1805068963327713e-08
116,macinley butson,,,inf,-inf,
121,mahendra singh dhoni,,,inf,-inf,-1.5655665920729284e-08
122,mahesh k kaushik,,,inf,-inf,0.0
123,mahindra,,,inf,-inf,-9.071280160101564e-09
124,maikanti baru,,,inf,-inf,0.0
127,maksym stepanov,covid19,ukraine,inf,-inf,0.0
129,mallikarjun kharge,,,inf,-inf,0.0
131,mamata banerjee,bjp,,inf,-inf,8.825396937269687e-09
134,manchester united,liverpool,aston villa,inf,-inf,0.000721240533717995
137,mano brown,,,inf,-inf,0.0
138,manohar lal khattar,,,inf,-inf,-1.320842121734724e-08
141,marc marquez,jorge lorenzo,,inf,-inf,3.8255590958979676e-07
151,marguerita cheng,,,inf,-inf,0.0
154,marie brady,,,inf,-inf,0.0
159,mark,,,inf,-inf,-1.0115219828673717e-08
162,mark firkin jolie king,iranian security forces,mark firkin jolie king,inf,-inf,
166,mark mcgowan,,,inf,-inf,-3.732053487790587e-07
168,mark nawaqanitawase,crusaders,waratahs,inf,-inf,
169,mark newnham,,,inf,-inf,
180,marley sexton,,,inf,-inf,0.0
182,marta,,,inf,-inf,
184,martha stewart,,,inf,-inf,-7.932289091895204e-09
185,martin guptill,,,inf,-inf,-2.40525574511299e-08
186,martin lewis,,,inf,-inf,-1.3862707336975793e-08
190,maruti,,,inf,-inf,0.0
196,mary higgins clark,,,inf,-inf,8.088738469414928e-05
197,maryam nawaz,,,inf,-inf,-9.961151509114453e-05
198,matt carpenter,,,inf,-inf,0.0
201,matt henry,neil wagner,,inf,-inf,-0.000248726662447109
202,matt jones,,,inf,-inf,0.0
203,matt kapusta,,,inf,-inf,
204,matt phillips,,,inf,-inf,-5.433206240678486e-08
205,matthew frank,,,inf,-inf,
206,mauro icardi,,,inf,-inf,0.0
207,max baucus,,,inf,-inf,
210,maxwell,,,inf,-inf,-0.02358490566037736
211,mazda,,,inf,-inf,6.236397946060921e-09
215,meg lanning,,,inf,-inf,0.0
216,meg lanning,covid19,kevin roberts,inf,-inf,
221,mehbooba mufti,,,inf,-inf,-1.1330341178810055e-08
224,melanie joly,,,inf,-inf,-1.792105060367059e-07
230,merzin tavaria,,,inf,-inf,0.0
232,meurig raymond,,,inf,-inf,0.0
233,mevlüt çavuşoğlu,,,inf,-inf,9.171227400233033e-09
237,michael bloomberg,tom steyer,joe biden,inf,-inf,
240,michael eadie,,carol glen,inf,-inf,0.0
252,mick schumacher,,,inf,-inf,0.0
255,mikael dolsten,,,inf,-inf,
259,mike brown,derek chauvin,george floyd,inf,-inf,0.0
260,mike dewine,,,inf,-inf,0.0
261,mike greensill,,,inf,-inf,0.0
265,mike myers,,,inf,-inf,-3.8068829204578465e-08
272,mike white,,,inf,-inf,-1.2227962530539184e-08
285,mitch robinson,,,inf,-inf,-0.002268262370895026
286,mitchell starc,,,inf,-inf,-6.0347514812465716e-09
287,mithali raj,,,inf,-inf,-2.112235223921858e-08
297,mon laferte,,,inf,-inf,0.0
302,morgan,,,inf,-inf,3.788117554076136e-08
304,morgan william,mississippi state,uconn,inf,-inf,
305,morgan william,uconn,mississippi state,inf,-inf,-2.0704418029743698e-05
307,morse,,,inf,-inf,
312,ms dhoni,,,inf,-inf,-2.37553195990668e-10
317,mukesh ambani,,,inf,-inf,-3.5632008625388646e-09
318,murali vijay,,,inf,-inf,0.0
319,murphy,,,inf,-inf,0.0001476668635558181
321,myers machado,,giants,inf,-inf,0.0
325,hamid ansari,,,inf,-inf,-3.686500036865e-05
327,hardik pandya,,,inf,-inf,-1.524197999042504e-07
328,harrah ’,,,inf,-inf,
329,harris,,,inf,-inf,0.0
330,harrison ford,,,inf,-inf,0.0
331,harry bates,,,inf,-inf,0.0
337,hbo,,,inf,-inf,0.0
340,healy,,,inf,-inf,
344,helen garner,,,inf,-inf,
345,helen mirren,,,inf,-inf,2.546890482308471e-07
346,heng swee keat,,,inf,-inf,1.1025844579694804e-07
348,hero,,,inf,-inf,1.935859025370143e-09
354,hina khan,,,inf,-inf,0.0
357,holiday mathis,,,inf,-inf,0.0
358,holly,,,inf,-inf,0.0
360,honda,,,inf,-inf,-6.2176864354977785e-09
361,honor,,,inf,-inf,0.0
366,hrithik roshan,,,inf,-inf,0.0
371,hung peiling,,,inf,-inf,0.0
372,hunter kahn,,,inf,-inf,
373,hydriz,,,inf,-inf,0.0
374,hydriz,na,na,inf,-inf,0.0
375,hydriz,villain,,inf,-inf,0.0
376,hyundai,,,inf,-inf,0.0
379,page,bad link,user,inf,-inf,1.2860353536262853e-07
382,pakistan,,,inf,-inf,0.0
383,pakistan armys special services group,,,inf,-inf,0.0
385,pam,,,inf,-inf,-3.4547326382411265e-08
386,pamela anderson,,,inf,-inf,-9.434627138346447e-08
387,pankaj pawar,,,inf,-inf,0.0
388,panneerselvam,,,inf,-inf,0.0
389,panos kammenos,turkey,greece,inf,-inf,0.0
390,parayko,avalanche,blues,inf,-inf,
394,parliament,,,inf,-inf,0.0
396,pascal soriot,,,inf,-inf,-2.6304713804713806e-08
399,pat lam,,,inf,-inf,-1.2346474674046895e-08
404,patrick beverley,,,inf,-inf,0.0
405,patrick kane,,,inf,-inf,
409,paul auster,,,inf,-inf,5.563468043439559e-06
411,paul flynn,,,inf,-inf,0.0
413,paul goriss,,,inf,-inf,0.0
414,paul lederer,,,inf,-inf,
416,paul mcguire,,,inf,-inf,0.0
418,paul penzone,,,inf,-inf,
422,paul turner,,,inf,-inf,0.0
427,pele,,,inf,-inf,-4.874797290694912e-09
428,pena,,burlington,inf,-inf,
431,periyar university,,,inf,-inf,-6.341206162726574e-08
435,peter coleman,,,inf,-inf,0.0
436,peter coleman,kerry stokes,andrew hastie,inf,-inf,
439,peter simpson,lawrence springborg,,inf,-inf,0.0
441,petro poroshenko,,,inf,-inf,0.0
446,pfizer,covid19,,inf,-inf,-3.647607101384154e-08
449,phil neville,,,inf,-inf,1.8969223762291344e-07
453,philip lowe,,,inf,-inf,8.267972325013099e-09
458,pierreedouard bellemare,dallas stars,colorado avalanche,inf,-inf,0.001697792869269949
463,pineiro,,,inf,-inf,
465,planned parenthood,,,inf,-inf,0.0
469,police,driver,pedestrians,inf,-inf,0.0
472,police officers,,,inf,-inf,0.0
473,pollock,,,inf,-inf,
479,popular science,,,inf,-inf,0.0
480,porsche,,,inf,-inf,-5.994812234796471e-09
481,porter,,,inf,-inf,
482,prabir mukherjee,,,inf,-inf,0.0
488,president muhammadu buhari,,,inf,-inf,0.0
490,primark,,,inf,-inf,-3.200664150613909e-08
500,product review team,,,inf,-inf,0.0
501,protesters,police,george floyd,inf,-inf,-0.00042735042735042735
504,sacha baron cohen,,,inf,-inf,-2.5839712395458672e-08
505,sachin tendulkar,,,inf,-inf,0.0
510,saif ali khan,,,inf,-inf,0.0
512,saina nehwal,,,inf,-inf,0.0
514,salman khan,,,inf,-inf,-5.183681248194384e-09
516,sam bremner,,,inf,-inf,
523,samsung electronics,,,inf,-inf,0.0
528,sanjay gupta,,,inf,-inf,0.0
533,sara ali khan,,,inf,-inf,0.0
535,sarah hyland,,,inf,-inf,0.0
536,sarah montgomery,benjamin hung,protester hood,inf,-inf,
539,sarakar,,,inf,-inf,0.0
540,sardar dyal singh majithia,,,inf,-inf,0.0
541,sarfraz ahmed,,,inf,-inf,3.1689608147220793e-08
545,satya nadella,,,inf,-inf,-1.713704484480161e-08
546,satyendar jain,,,inf,-inf,2.503951834270299e-07
547,saudi arabia,,,inf,-inf,-1.2256835166973198e-07
551,scott brooks,fan ran onto court,na,inf,-inf,
553,scott gormley,,,inf,-inf,
