,hero,villain,victim,main,extreme,slope
46,tim allen,,,-inf,inf,0.0
50,tim kaine,,,-inf,inf,0.0
73,tom seaver,,dementia,-inf,inf,
118,maggie hassan,,,-inf,inf,0.0
143,marcelo castro,venezuela,brazil,-inf,inf,
170,mark r rushdoony,,,-inf,inf,0.0
176,mark zuckerberg,facebook,facebook users,-inf,inf,0.0
242,michael harrington,target,walmart,-inf,inf,0.0
245,michael reagan,,,-inf,inf,0.0
251,mick minnis,,,-inf,inf,
364,house republicans,democrats,americans,-inf,inf,
401,pat robertson,,,-inf,inf,0.0
406,patrick lynch,milwaukee county sheriff david clarke,new york city police officers,-inf,inf,
438,peter morici,,,-inf,inf,
524,samuel l jackson,donald trump,,-inf,inf,0.0
559,scott walker,,,-inf,inf,0.0
602,sheldon adelson,,,-inf,inf,0.0
677,steven notley,,,-inf,inf,0.0
734,otto warmbier,north korea,otto warmbier,-inf,inf,0.0
750,viktor orban,,,-inf,inf,0.0
796,carlos roman,health inspector,,-inf,inf,0.0
815,central statistical office ksh,,,-inf,inf,0.0
824,charles murray,middlebury college protesters,allison stanger,-inf,inf,
840,chris crane,ted wheeler,ice employees,-inf,inf,
875,christopher brand,publisher john wiley sons,intelligence testing,-inf,inf,
879,chuck grassley,bernie sanders,,-inf,inf,0.0
905,congress,obama,saudi arabia,-inf,inf,0.0
1011,news doctors,,,-inf,inf,0.0
1065,family research council,,,-inf,inf,0.0
1096,frank bosse prof fritz vahrenholt,climate scientists,,-inf,inf,
1149,gilad atzmon,rabbis,,-inf,inf,
1179,greg laurie,,,-inf,inf,0.0
1257,,,cnn,-inf,inf,0.0
1282,,,elizabeth warren,-inf,inf,0.0
1307,,,global elite,-inf,inf,0.0
1341,,,joseph mifsud,-inf,inf,
1373,,,maui wildfire victims families,-inf,inf,0.0
1430,,,peertube user,-inf,inf,0.0
1465,,,small business owners,-inf,inf,0.0
1532,,alexandria ocasiocortez,,-inf,inf,0.0
1533,,american nazi party,,-inf,inf,0.0
