barack obama.none.none,-0.3922322702763679,0.678400525299968
none.china.united states,0.6708203932499367,-0.16666666666666663
none.barack obama.none,0.6708203932499367,nan
bernie sanders.hillary clinton.none,0.5466428522904139,0.6766649524509583
none.donald trump.ted cruz,0.7580716771900757,0.7453559924999299
none.barack obama.donald trump,0.6708203932499369,-0.11111111111111109
ted cruz.donald trump.none,0.7799999999999997,0.4522670168666452
ted cruz.none.none,0.388888888888889,0.666666666666667
john kasich.none.none,0.5163977794943222,-0.16666666666666663
mike pence.none.none,0.6708203932499368,-0.16666666666666666
