arun jaitley.none.none,-0.2222222222222222,0.6666666666666666
cristiano ronaldo.none.none,0.6708203932499366,-0.16666666666666663
none.rudy giuliani.none,0.6708203932499368,0.6666666666666666
isro.none.none,-0.149071198499986,0.6666666666666667
tom brady.none.none,0.5163977794943223,-0.16666666666666666
taylor swift.none.none,1.0,nan
none.china.none,-0.19364916731037085,0.5091750772173155
kate middleton.none.none,0.9999999999999997,-0.11111111111111113
hillary clinton.donald trump.none,0.6864064729836441,0.5454545454545454
kendall jenner.none.none,0.6708203932499368,-0.16666666666666663
