none.none.none,0.09204644495459981,0.6521408405436043
bernie sanders.none.none,0.17149858514250885,0.678400525299968
hillary clinton.donald trump.none,0.7722137674012958,0.043260732246003276
none.donald trump.ted cruz,0.9458757059274913,0.9999999999999996
none.none.hillary clinton,0.26311740579210885,0.8040302522073697
none.barack obama.none,0.9689627902499094,nan
none.donald trump.fox news,1.0,nan
ted cruz.donald trump.none,0.8049844718999246,0.666666666666667
hillary clinton.none.none,-0.21698151830137302,0.6666666666666669
none.ted cruz.none,0.8858795678282985,nan
none.hillary clinton.bernie sanders,0.6708203932499367,-0.11111111111111113
hillary clinton.bernie sanders.none,0.6708203932499366,-0.11111111111111116
