ted cruz,"[0.2078264413354248, 0.5281716011319268]"
pope francis,"[0.041216880087308394, 0.5536970296857239]"
rishi sunak,"[0.503834532064047, 0.21166303449761453]"
marco rubio,"[-0.03467783666869868, 0.5133571114215448]"
pilot,"[-0.03749999999999999, 0.6540084388185653]"
prince william,"[0.5654263720629514, -0.02898855178262242]"
