none.barack obama,"[0.7887652342763033, nan]"
none.hillary clinton,"[0.6468090844973882, -0.03786793980820488]"
ted cruz.donald trump,"[0.8922268747738975, -0.015674347019079965]"
anthony fauci.donald trump,"[-0.03603437878323461, 0.7614219627468497]"
maruti suzuki.none,"[-0.03978415966885738, 0.6204836822995432]"
aaron judge.none,"[-0.02862918339559248, 0.5652767597611373]"
