hillary clinton.none,"[0.28401672074367496, 0.62298014766745]"
shah rukh khan.none,"[0.8327024212062422, -0.024389059550685863]"
adele.none,"[0.6983225049986963, -0.025161711869879904]"
none.tara reade,"[1.0, -0.01234567901234568]"
none.amber heard,"[0.7027819284987274, -0.01756820922315766]"
