none.none,"[0.5241033322232161, 0.3276005863832297]"
hillary clinton.none,"[0.016676286677087714, 0.5048634343496792]"
none.ted cruz,"[0.4854401098704173, 0.6128850536292338]"
none.james comey,"[0.777351373793857, -0.026971975629884015]"
none.qatar,"[0.7963481910726226, 0.33515742554627354]"
liz cheney.none,"[-0.0368925835063097, 0.5755089459746229]"
none.syrian civilians,"[-0.033886819973426845, 0.5285639874174622]"
ted cruz.none,"[0.3235918142121687, 0.5001115117287032]"
bill palmer.none,"[-0.026440185777623772, 0.7050480775921937]"
none.yemen,"[0.6206328908341752, 0.29009626704913716]"
leonardo dicaprio.none,"[0.7540177231300165, -0.021652326748721046]"
stormy daniels.none,"[-0.023416699476087474, 0.753994959604832]"
none.marco rubio,"[0.6238776945276411, -0.023687491569557448]"
viola davis.none,"[-0.02012007271809823, 0.8148431084695213]"
jerry brown.california,"[0.5702659485122009, -0.021652326748721043]"
dwayne 'the rock' johnson.none,"[0.8148629450829783, -0.02037107771173803]"
