joe biden.donald trump,"[0.6585743873370873, 0.3403901404517184]"
none.covid-19,"[0.5550970584610089, 0.36784428925706236]"
hillary clinton.donald trump,"[0.25478258003664384, 0.5580842371297248]"
boris johnson.none,"[0.5592056602575971, -0.044129578164068775]"
none.huawei,"[0.7027819284987276, -0.017568209223157657]"
mukesh ambani.none,"[-0.020549179195869217, 0.6616218662079388]"
none.jose mourinho,"[0.6541666666666669, -0.037974683544303806]"
conor mcgregor.none,"[0.9483026315397416, -0.015674347019079965]"
novak djokovic.none,"[-0.021384973069207527, 0.5701779377163206]"
arvind kejriwal.none,"[-0.020120072718098226, 0.8148431084695215]"
