joe biden,"[0.5108042563469404, 0.5166313490945063]"
hillary clinton,"[0.5514345182974448, 0.30660107751049215]"
john kasich,"[0.5509877036855697, -0.03512838818259575]"
letitia james,"[0.2013732697517546, 0.672213996993525]"
angela merkel,"[0.524762161717818, 0.33074475432643724]"
lady gaga,"[0.5752965142845525, -0.03470624017634257]"
melania trump,"[-0.029259264337713246, 0.6645804049346397]"
dr. deborah birx,"[-0.02883194041644336, 0.7687798409754736]"
fda,"[-0.023395413544786553, 0.6237706113316797]"
ahed tamimi,"[-0.021384973069207537, 0.5701779377163205]"
