none.donald trump.joe biden,"[0.569677212462574, 0.5691483411966832]"
none.donald trump.north korea,"[0.7835669663451644, 0.29558779623506204]"
hillary clinton.donald trump.none,"[0.5866276254748036, 0.06260249371740553]"
bernie sanders.hillary clinton.none,"[0.39560594666997945, 0.6087807775281011]"
none.russia.ukraine,"[0.5177621088984157, 0.25915263401960303]"
none.ted cruz.none,"[-0.01735264020984512, 0.7027283689263071]"
john mccain.donald trump.none,"[0.7050716207366343, -0.026773977630083306]"
hillary clinton.bernie sanders.none,"[0.7027819284987276, -0.017568209223157674]"
none.roger stone.none,"[0.5702659485122011, -0.021652326748721036]"
