ukraine,"[0.5984194243018468, 0.5635464090247418]"
joe biden,"[0.5015598588039654, 0.47320208888712667]"
ted cruz,"[0.8880692353048973, -0.013205489173122236]"
black community,"[0.5068783637872858, -0.03290162054781324]"
julian assange,"[0.6206328908341749, -0.040291148201269035]"
breonna taylor,"[-0.022030293204293762, 0.6635733584088879]"
covid-19 patients,"[0.3314822017398876, 0.6982120021884471]"
ireland,"[-0.02484903477352132, 0.5701779377163209]"
deutsche bank,"[0.623877694527641, -0.023687491569557465]"
baby girl,"[0.8148629450829783, -0.020371077711738024]"
