nawaz sharif,"[0.3860342121767329, 0.59947894041409]"
gareth southgate,"[0.6829641335502541, -0.046705777507751844]"
chris pratt,"[-0.03157118233721177, 0.667092378692055]"
lewis hamilton,"[0.5068783637872855, -0.03290162054781323]"
healthcare workers,"[0.7373417721518992, 0.21153846153846145]"
denis shapovalov,"[0.9042248064222366, -0.01875977815147707]"
von miller,"[0.6238776945276412, -0.023687491569557465]"
moderna,"[-0.023395413544786553, 0.6237706113316797]"
volodymyr zelensky,"[0.8114408259335794, 0.4875000000000001]"
